Accession,Description
Q8K354,Carbonyl reductase [NADPH] 3 OS=Mus musculus GN=Cbr3 PE=2 SV=1 - [CBR3_MOUSE]
Q64176,Carboxylesterase 1E OS=Mus musculus GN=Ces1e PE=1 SV=1 - [EST1E_MOUSE]
Q00493,Carboxypeptidase E OS=Mus musculus GN=Cpe PE=1 SV=2 - [CBPE_MOUSE]
G3X8T3,Carboxypeptidase OS=Mus musculus GN=Ctsa PE=3 SV=1 - [G3X8T3_MOUSE]
Q9DC28,Casein kinase I isoform delta OS=Mus musculus GN=Csnk1d PE=1 SV=2 - [KC1D_MOUSE]
Q9JMK2,Casein kinase I isoform epsilon OS=Mus musculus GN=Csnk1e PE=1 SV=2 - [KC1E_MOUSE]
P67871,Casein kinase II subunit beta OS=Mus musculus GN=Csnk2b PE=1 SV=1 - [CSK2B_MOUSE]
G3X9U0,"Casitas B-lineage lymphoma c, isoform CRA_b OS=Mus musculus GN=Cblc PE=4 SV=1 - [G3X9U0_MOUSE]"
Q9WUF3,CASP8-associated protein 2 OS=Mus musculus GN=Casp8ap2 PE=1 SV=2 - [C8AP2_MOUSE]
E9Q8Z5,Catenin delta-1 OS=Mus musculus GN=Ctnnd1 PE=1 SV=1 - [E9Q8Z5_MOUSE]
E9QKH8,Catenin delta-2 OS=Mus musculus GN=Ctnnd2 PE=1 SV=1 - [E9QKH8_MOUSE]
P10605,Cathepsin B OS=Mus musculus GN=Ctsb PE=1 SV=2 - [CATB_MOUSE]
Q8BM88,Cathepsin O OS=Mus musculus GN=Ctso PE=2 SV=1 - [CATO_MOUSE]
Q9WUU7,Cathepsin Z OS=Mus musculus GN=Ctsz PE=2 SV=1 - [CATZ_MOUSE]
Q07113,Cation-independent mannose-6-phosphate receptor OS=Mus musculus GN=Igf2r PE=1 SV=1 - [MPRI_MOUSE]
Q8BHE3,Caytaxin OS=Mus musculus GN=Atcay PE=1 SV=1 - [ATCAY_MOUSE]
P53566,CCAAT/enhancer-binding protein alpha OS=Mus musculus GN=Cebpa PE=1 SV=2 - [CEBPA_MOUSE]
Q8C5L3,CCR4-NOT transcription complex subunit 2 OS=Mus musculus GN=Cnot2 PE=2 SV=2 - [CNOT2_MOUSE]
Q80VX2,CD200 antigen OS=Mus musculus GN=Cd200 PE=2 SV=1 - [Q80VX2_MOUSE]
Q8CJ91,CD209 antigen-like protein B OS=Mus musculus GN=Cd209b PE=1 SV=2 - [C209B_MOUSE]
Q9JLQ0,CD2-associated protein OS=Mus musculus GN=Cd2ap PE=1 SV=3 - [CD2AP_MOUSE]
P40240,CD9 antigen OS=Mus musculus GN=Cd9 PE=1 SV=2 - [CD9_MOUSE]
Q9DBN8,Cdc25b protein OS=Mus musculus GN=Cdc25b PE=2 SV=1 - [Q9DBN8_MOUSE]
Q8BTW8,CDK5 regulatory subunit-associated protein 1 OS=Mus musculus GN=Cdk5rap1 PE=2 SV=2 - [CK5P1_MOUSE]
G3UZM4,Cell adhesion molecule 2 (Fragment) OS=Mus musculus GN=Cadm2 PE=4 SV=1 - [G3UZM4_MOUSE]
Q9JKC6,Cell cycle exit and neuronal differentiation protein 1 OS=Mus musculus GN=Cend1 PE=1 SV=1 - [CEND_MOUSE]
P41209,Centrin-1 OS=Mus musculus GN=Cetn1 PE=1 SV=1 - [CETN1_MOUSE]
Q8CB62,Centrobin OS=Mus musculus GN=Cntrob PE=2 SV=2 - [CNTRB_MOUSE]
Q9CXS4,Centromere protein V OS=Mus musculus GN=Cenpv PE=2 SV=2 - [CENPV_MOUSE]
Q62036,Centrosomal protein of 131 kDa OS=Mus musculus GN=Cep131 PE=1 SV=2 - [CP131_MOUSE]
Q6A065,Centrosomal protein of 170 kDa OS=Mus musculus GN=Cep170 PE=1 SV=2 - [CE170_MOUSE]
E9Q9M0,Centrosomal protein of 290 kDa OS=Mus musculus GN=Cep290 PE=4 SV=1 - [E9Q9M0_MOUSE]
Q9D3R3,Centrosomal protein of 72 kDa OS=Mus musculus GN=Cep72 PE=2 SV=3 - [CEP72_MOUSE]
B2RX88,Centrosome and spindle pole associated protein 1 OS=Mus musculus GN=Cspp1 PE=1 SV=2 - [CSPP1_MOUSE]
E9Q5A8,Centrosome-associated protein CEP250 OS=Mus musculus GN=Cep250 PE=4 SV=1 - [E9Q5A8_MOUSE]
Q8BGU2,Cerebellin-2 OS=Mus musculus GN=Cbln2 PE=1 SV=1 - [CBLN2_MOUSE]
Q60936,"Chaperone activity of bc1 complex-like, mitochondrial OS=Mus musculus GN=Adck3 PE=1 SV=2 - [ADCK3_MOUSE]"
Q99LU0,Charged multivesicular body protein 1b-1 OS=Mus musculus GN=Chmp1b1 PE=1 SV=1 - [CH1B1_MOUSE]
Q8BJF9,Charged multivesicular body protein 2b OS=Mus musculus GN=Chmp2b PE=1 SV=1 - [CHM2B_MOUSE]
Q64347,Chloride channel protein 1 OS=Mus musculus GN=Clcn1 PE=1 SV=3 - [CLCN1_MOUSE]
Q9R0A1,Chloride channel protein 2 OS=Mus musculus GN=Clcn2 PE=2 SV=2 - [CLCN2_MOUSE]
Q9WUB7,Chloride channel protein ClC-Ka OS=Mus musculus GN=Clcnka PE=1 SV=2 - [CLCKA_MOUSE]
P09240,Cholecystokinin OS=Mus musculus GN=Cck PE=1 SV=3 - [CCKN_MOUSE]
Q8VHY0,Chondroitin sulfate proteoglycan 4 OS=Mus musculus GN=Cspg4 PE=1 SV=3 - [CSPG4_MOUSE]
Q920C1,Chordin-like protein 1 OS=Mus musculus GN=Chrdl1 PE=1 SV=1 - [CRDL1_MOUSE]
Q9D0N7,Chromatin assembly factor 1 subunit B OS=Mus musculus GN=Chaf1b PE=2 SV=1 - [CAF1B_MOUSE]
Q9CY57,Chromatin target of PRMT1 protein OS=Mus musculus GN=Chtop PE=1 SV=2 - [CHTOP_MOUSE]
E9QAS4,Chromodomain-helicase-DNA-binding protein 4 OS=Mus musculus GN=Chd4 PE=1 SV=1 - [E9QAS4_MOUSE]
P05208,Chymotrypsin-like elastase family member 2A OS=Mus musculus GN=Cela2a PE=2 SV=1 - [CEL2A_MOUSE]
A9Q751,Cilia- and flagella-associated protein 221 OS=Mus musculus GN=Cfap221 PE=1 SV=1 - [PCDP1_MOUSE]
D3YUW7,Cingulin OS=Mus musculus GN=Cgn PE=1 SV=1 - [D3YUW7_MOUSE]
P49025,Citron Rho-interacting kinase OS=Mus musculus GN=Cit PE=1 SV=3 - [CTRO_MOUSE]
J3QNR6,C-Jun-amino-terminal kinase-interacting protein 3 OS=Mus musculus GN=Mapk8ip3 PE=1 SV=1 - [J3QNR6_MOUSE]
Q58A65,C-Jun-amino-terminal kinase-interacting protein 4 OS=Mus musculus GN=Spag9 PE=1 SV=2 - [JIP4_MOUSE]
Q8CJ61,CKLF-like MARVEL transmembrane domain-containing protein 4 OS=Mus musculus GN=Cmtm4 PE=2 SV=1 - [CKLF4_MOUSE]
Q8C6A8,Class E basic helix-loop-helix protein 22 OS=Mus musculus GN=Bhlhe22 PE=1 SV=1 - [BHE22_MOUSE]
H3BJW3,Cleavage and polyadenylation-specificity factor subunit 6 OS=Mus musculus GN=Cpsf6 PE=4 SV=1 - [H3BJW3_MOUSE]
Q8R0W1,CLOCK-interacting pacemaker OS=Mus musculus GN=Cipc PE=1 SV=4 - [CIPC_MOUSE]
B2RRC9,Coagulation factor VIII OS=Mus musculus GN=F8 PE=2 SV=1 - [B2RRC9_MOUSE]
Q8CIE6,Coatomer subunit alpha OS=Mus musculus GN=Copa PE=1 SV=2 - [COPA_MOUSE]
Q5XJY5,Coatomer subunit delta OS=Mus musculus GN=Arcn1 PE=1 SV=2 - [COPD_MOUSE]
P56388,Cocaine- and amphetamine-regulated transcript protein OS=Mus musculus GN=Cartpt PE=2 SV=2 - [CART_MOUSE]
Q8BRN9,Coiled-coil and C2 domain-containing protein 1B OS=Mus musculus GN=Cc2d1b PE=2 SV=1 - [C2D1B_MOUSE]
Q3UHY7,Coiled-coil domain containing 32 OS=Mus musculus GN=Ccdc32 PE=2 SV=1 - [Q3UHY7_MOUSE]
D3YUZ0,"Coiled-coil domain containing 83, isoform CRA_c OS=Mus musculus GN=Ccdc83 PE=4 SV=1 - [D3YUZ0_MOUSE]"
Q8BIS8,Coiled-coil domain-containing protein 126 OS=Mus musculus GN=Ccdc126 PE=2 SV=1 - [CC126_MOUSE]
Q3TC33,Coiled-coil domain-containing protein 127 OS=Mus musculus GN=Ccdc127 PE=2 SV=2 - [CC127_MOUSE]
Q8CE13,Coiled-coil domain-containing protein 17 OS=Mus musculus GN=Ccdc17 PE=2 SV=1 - [CCD17_MOUSE]
Q3UHB8,Coiled-coil domain-containing protein 177 OS=Mus musculus GN=Ccdc177 PE=1 SV=1 - [CC177_MOUSE]
Q80ZU5,Coiled-coil domain-containing protein 181 OS=Mus musculus GN=Ccdc181 PE=2 SV=1 - [CC181_MOUSE]
Q9D5Y1,Coiled-coil domain-containing protein 39 OS=Mus musculus GN=Ccdc39 PE=2 SV=1 - [CCD39_MOUSE]
Q8VEG0,Coiled-coil domain-containing protein 71 OS=Mus musculus GN=Ccdc71 PE=2 SV=1 - [CCD71_MOUSE]
Q8CDM4,Coiled-coil domain-containing protein 73 OS=Mus musculus GN=Ccdc73 PE=2 SV=2 - [CCD73_MOUSE]
D3YZV8,Coiled-coil domain-containing protein 8 homolog OS=Mus musculus GN=Ccdc8 PE=3 SV=2 - [CCDC8_MOUSE]
D3YW42,Coiled-coil domain-containing protein 9 OS=Mus musculus GN=Ccdc9 PE=4 SV=2 - [D3YW42_MOUSE]
Q9D6J3,Coiled-coil domain-containing protein 94 OS=Mus musculus GN=Ccdc94 PE=1 SV=1 - [CCD94_MOUSE]
Q91YQ3,Cold shock domain-containing protein C2 OS=Mus musculus GN=Csdc2 PE=2 SV=2 - [CSDC2_MOUSE]
P60824,Cold-inducible RNA-binding protein OS=Mus musculus GN=Cirbp PE=1 SV=1 - [CIRBP_MOUSE]
P11087,Collagen alpha-1(I) chain OS=Mus musculus GN=Col1a1 PE=1 SV=4 - [CO1A1_MOUSE]
O88207,Collagen alpha-1(V) chain OS=Mus musculus GN=Col5a1 PE=2 SV=2 - [CO5A1_MOUSE]
Q04857,Collagen alpha-1(VI) chain OS=Mus musculus GN=Col6a1 PE=2 SV=1 - [CO6A1_MOUSE]
Q60847,Collagen alpha-1(XII) chain OS=Mus musculus GN=Col12a1 PE=2 SV=3 - [COCA1_MOUSE]
D3Z7B9,Collagen alpha-1(XIII) chain OS=Mus musculus GN=Col13a1 PE=4 SV=1 - [D3Z7B9_MOUSE]
Q8BLX7,Collagen alpha-1(XVI) chain OS=Mus musculus GN=Col16a1 PE=2 SV=2 - [COGA1_MOUSE]
Q07563,Collagen alpha-1(XVII) chain OS=Mus musculus GN=Col17a1 PE=1 SV=3 - [COHA1_MOUSE]
Q8K4G2,Collagen alpha-1(XXIII) chain OS=Mus musculus GN=Col23a1 PE=2 SV=2 - [CONA1_MOUSE]
Q5QNQ9,Collagen alpha-1(XXVII) chain OS=Mus musculus GN=Col27a1 PE=2 SV=1 - [CORA1_MOUSE]
I7HJR1,Collagen alpha-2(IX) chain OS=Mus musculus GN=Col9a2 PE=4 SV=1 - [I7HJR1_MOUSE]
Q3U962,Collagen alpha-2(V) chain OS=Mus musculus GN=Col5a2 PE=1 SV=1 - [CO5A2_MOUSE]
Q9QZS0,Collagen alpha-3(IV) chain OS=Mus musculus GN=Col4a3 PE=1 SV=2 - [CO4A3_MOUSE]
P33435,Collagenase 3 OS=Mus musculus GN=Mmp13 PE=1 SV=1 - [MMP13_MOUSE]
Q63829,COMM domain-containing protein 3 OS=Mus musculus GN=Commd3 PE=2 SV=1 - [COMD3_MOUSE]
P98086,Complement C1q subcomponent subunit A OS=Mus musculus GN=C1qa PE=1 SV=2 - [C1QA_MOUSE]
P14106,Complement C1q subcomponent subunit B OS=Mus musculus GN=C1qb PE=1 SV=2 - [C1QB_MOUSE]
Q8CFG8,Complement C1s-B subcomponent OS=Mus musculus GN=C1sb PE=2 SV=1 - [CS1B_MOUSE]
P01027,Complement C3 OS=Mus musculus GN=C3 PE=1 SV=3 - [CO3_MOUSE]
P06684,Complement C5 OS=Mus musculus GN=C5 PE=1 SV=2 - [CO5_MOUSE]
P06683,Complement component C9 OS=Mus musculus GN=C9 PE=1 SV=2 - [CO9_MOUSE]
Q6DFV1,Condensin-2 complex subunit G2 OS=Mus musculus GN=Ncapg2 PE=2 SV=2 - [CNDG2_MOUSE]
Q80YA9,Connector enhancer of kinase suppressor of ras 2 OS=Mus musculus GN=Cnksr2 PE=1 SV=1 - [CNKR2_MOUSE]
Q8R1U1,Conserved oligomeric Golgi complex subunit 4 OS=Mus musculus GN=Cog4 PE=2 SV=1 - [COG4_MOUSE]
Q9CPW0,Contactin-associated protein-like 2 OS=Mus musculus GN=Cntnap2 PE=1 SV=2 - [CNTP2_MOUSE]
Q99P47,Contactin-associated protein-like 4 OS=Mus musculus GN=Cntnap4 PE=1 SV=2 - [CNTP4_MOUSE]
P61202,COP9 signalosome complex subunit 2 OS=Mus musculus GN=Cops2 PE=1 SV=1 - [CSN2_MOUSE]
O88544,COP9 signalosome complex subunit 4 OS=Mus musculus GN=Cops4 PE=1 SV=1 - [CSN4_MOUSE]
Q9CZ04,COP9 signalosome complex subunit 7a OS=Mus musculus GN=Cops7a PE=1 SV=2 - [CSN7A_MOUSE]
Q8C166,Copine-1 OS=Mus musculus GN=Cpne1 PE=1 SV=1 - [CPNE1_MOUSE]
Q8BT60,Copine-3 OS=Mus musculus GN=Cpne3 PE=2 SV=2 - [CPNE3_MOUSE]
Q3UMF0,Cordon-bleu protein-like 1 OS=Mus musculus GN=Cobll1 PE=1 SV=2 - [COBL1_MOUSE]
Q9QZQ8,"Core histone macro-H2A,1 OS=Mus musculus GN=H2afy PE=1 SV=3 - [H2AY_MOUSE]"
Q8BH44,Coronin-2B OS=Mus musculus GN=Coro2b PE=2 SV=2 - [COR2B_MOUSE]
B9EJA2,Cortactin-binding protein 2 OS=Mus musculus GN=Cttnbp2 PE=1 SV=2 - [CTTB2_MOUSE]
E9QMV2,Costars family protein ABRACL OS=Mus musculus GN=Abracl PE=4 SV=1 - [E9QMV2_MOUSE]
Q8K199,COX assembly mitochondrial protein 2 homolog OS=Mus musculus GN=Cmc2 PE=2 SV=1 - [COXM2_MOUSE]
Q9CPZ8,COX assembly mitochondrial protein homolog OS=Mus musculus GN=Cmc1 PE=3 SV=1 - [COXM1_MOUSE]
P07310,Creatine kinase M-type OS=Mus musculus GN=Ckm PE=1 SV=1 - [KCRM_MOUSE]
Q3LR78,CtBP-interacting BTB zinc finger protein OS=Mus musculus GN=Zbtb38 PE=2 SV=1 - [Q3LR78_MOUSE]
O88712,C-terminal-binding protein 1 OS=Mus musculus GN=Ctbp1 PE=1 SV=2 - [CTBP1_MOUSE]
Q99LJ0,CTTNBP2 N-terminal-like protein OS=Mus musculus GN=Cttnbp2nl PE=1 SV=1 - [CT2NL_MOUSE]
Q7TSQ1,C-type lectin domain family 18 member A OS=Mus musculus GN=Clec18a PE=2 SV=1 - [CL18A_MOUSE]
Q9CXX9,CUE domain-containing protein 2 OS=Mus musculus GN=Cuedc2 PE=2 SV=1 - [CUED2_MOUSE]
V9GX43,CUGBP Elav-like family member 2 (Fragment) OS=Mus musculus GN=Celf2 PE=4 SV=1 - [V9GX43_MOUSE]
Q7TN33,CUGBP Elav-like family member 6 OS=Mus musculus GN=Celf6 PE=2 SV=1 - [CELF6_MOUSE]
G3X914,Cullin 5 OS=Mus musculus GN=Cul5 PE=3 SV=1 - [G3X914_MOUSE]
E9QP09,Cullin-9 OS=Mus musculus GN=Cul9 PE=3 SV=1 - [E9QP09_MOUSE]
Q6ZQ73,Cullin-associated NEDD8-dissociated protein 2 OS=Mus musculus GN=Cand2 PE=1 SV=2 - [CAND2_MOUSE]
P24788,Cyclin-dependent kinase 11B OS=Mus musculus GN=Cdk11b PE=1 SV=2 - [CD11B_MOUSE]
O35926,Cyclin-dependent kinase 5 activator 2 OS=Mus musculus GN=Cdk5r2 PE=3 SV=2 - [CD5R2_MOUSE]
P49615,Cyclin-dependent-like kinase 5 OS=Mus musculus GN=Cdk5 PE=1 SV=1 - [CDK5_MOUSE]
Q8BGU5,Cyclin-Y OS=Mus musculus GN=Ccny PE=1 SV=1 - [CCNY_MOUSE]
Q91WT9,Cystathionine beta-synthase OS=Mus musculus GN=Cbs PE=2 SV=3 - [CBS_MOUSE]
P97314,Cysteine and glycine-rich protein 2 OS=Mus musculus GN=Csrp2 PE=1 SV=3 - [CSRP2_MOUSE]
Q9D1P4,Cysteine and histidine-rich domain-containing protein 1 OS=Mus musculus GN=Chordc1 PE=1 SV=1 - [CHRD1_MOUSE]
Q8CBW7,Cysteine-rich hydrophobic domain-containing protein 1 OS=Mus musculus GN=Chic1 PE=2 SV=2 - [CHIC1_MOUSE]
Q9JLL0,Cysteine-rich motor neuron 1 protein OS=Mus musculus GN=Crim1 PE=2 SV=2 - [CRIM1_MOUSE]
Q9CPX8,Cytochrome b-c1 complex subunit 10 OS=Mus musculus GN=Uqcr11 PE=2 SV=1 - [QCR10_MOUSE]
Q9DB77,"Cytochrome b-c1 complex subunit 2, mitochondrial OS=Mus musculus GN=Uqcrc2 PE=1 SV=1 - [QCR2_MOUSE]"
Q9CQB4,Cytochrome b-c1 complex subunit 7 OS=Mus musculus GN=Uqcrb PE=2 SV=1 - [Q9CQB4_MOUSE]
P00405,Cytochrome c oxidase subunit 2 OS=Mus musculus GN=Mtco2 PE=1 SV=1 - [COX2_MOUSE]
Q9CPQ1,Cytochrome c oxidase subunit 6C OS=Mus musculus GN=Cox6c PE=1 SV=3 - [COX6C_MOUSE]
Q8BKE6,Cytochrome P450 20A1 OS=Mus musculus GN=Cyp20a1 PE=2 SV=1 - [CP20A_MOUSE]
Q9DBW0,Cytochrome P450 4V2 OS=Mus musculus GN=Cyp4v2 PE=1 SV=1 - [CP4V2_MOUSE]
B2RXA7,"Cytochrome P450, family 26, subfamily c, polypeptide 1 OS=Mus musculus GN=Cyp26c1 PE=2 SV=1 - [B2RXA7_MOUSE]"
Q3TZ02,Cytohesin-1 OS=Mus musculus GN=Cyth1 PE=2 SV=1 - [Q3TZ02_MOUSE]
P28271,Cytoplasmic aconitate hydratase OS=Mus musculus GN=Aco1 PE=1 SV=3 - [ACOC_MOUSE]
Q9JHU4,Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus GN=Dync1h1 PE=1 SV=2 - [DYHC1_MOUSE]
Q8R1Q8,Cytoplasmic dynein 1 light intermediate chain 1 OS=Mus musculus GN=Dync1li1 PE=1 SV=1 - [DC1L1_MOUSE]
Q99M51,Cytoplasmic protein NCK1 OS=Mus musculus GN=Nck1 PE=1 SV=1 - [NCK1_MOUSE]
O55033,Cytoplasmic protein NCK2 OS=Mus musculus GN=Nck2 PE=1 SV=1 - [NCK2_MOUSE]
Q91YE9,Cytosolic 5'-nucleotidase 1B OS=Mus musculus GN=Nt5c1b PE=2 SV=2 - [5NT1B_MOUSE]
Q2KN98,Cytospin-A OS=Mus musculus GN=Specc1l PE=1 SV=1 - [CYTSA_MOUSE]
Q5SXY1,Cytospin-B OS=Mus musculus GN=Specc1 PE=1 SV=2 - [CYTSB_MOUSE]
E9QN44,"D-2-hydroxyglutarate dehydrogenase, mitochondrial OS=Mus musculus GN=D2hgdh PE=1 SV=1 - [E9QN44_MOUSE]"
Q61753,D-3-phosphoglycerate dehydrogenase OS=Mus musculus GN=Phgdh PE=1 SV=3 - [SERA_MOUSE]
Q8K3H0,DCC-interacting protein 13-alpha OS=Mus musculus GN=Appl1 PE=1 SV=1 - [DP13A_MOUSE]
Q9QZ73,DCN1-like protein 1 OS=Mus musculus GN=Dcun1d1 PE=2 SV=1 - [DCNL1_MOUSE]
Q9QY93,dCTP pyrophosphatase 1 OS=Mus musculus GN=Dctpp1 PE=1 SV=1 - [DCTP1_MOUSE]
Q80WW9,DDRGK domain-containing protein 1 OS=Mus musculus GN=Ddrgk1 PE=1 SV=2 - [DDRGK_MOUSE]
Q80X98,DEAH (Asp-Glu-Ala-His) box polypeptide 38 OS=Mus musculus GN=Dhx38 PE=2 SV=1 - [Q80X98_MOUSE]
Q8BIK4,Dedicator of cytokinesis protein 9 OS=Mus musculus GN=Dock9 PE=2 SV=2 - [DOCK9_MOUSE]
Q8C4S8,DENN domain-containing protein 2A OS=Mus musculus GN=Dennd2a PE=1 SV=1 - [DEN2A_MOUSE]
A6H8H2,DENN domain-containing protein 4C OS=Mus musculus GN=Dennd4c PE=1 SV=1 - [DEN4C_MOUSE]
Q6PAL8,DENN domain-containing protein 5A OS=Mus musculus GN=Dennd5a PE=1 SV=1 - [DEN5A_MOUSE]
Q99LN9,Deoxyhypusine hydroxylase OS=Mus musculus GN=Dohh PE=2 SV=2 - [DOHH_MOUSE]
Q99LB0,Deoxynucleotidyltransferase terminal-interacting protein 1 OS=Mus musculus GN=Dnttip1 PE=2 SV=1 - [TDIF1_MOUSE]
Q8VCG1,"Deoxyuridine triphosphatase, isoform CRA_b OS=Mus musculus GN=Dut PE=2 SV=1 - [Q8VCG1_MOUSE]"
E9Q557,Desmoplakin OS=Mus musculus GN=Dsp PE=1 SV=1 - [DESP_MOUSE]
Q3TCG9,Desumoylating isopeptidase 1 OS=Mus musculus GN=Desi1 PE=2 SV=1 - [Q3TCG9_MOUSE]
Q9JIQ3,"Diablo homolog, mitochondrial OS=Mus musculus GN=Diablo PE=1 SV=2 - [DBLOH_MOUSE]"
E9PUQ8,Diacylglycerol kinase OS=Mus musculus GN=Dgkd PE=3 SV=1 - [E9PUQ8_MOUSE]
O54908,Dickkopf-related protein 1 OS=Mus musculus GN=Dkk1 PE=1 SV=2 - [DKK1_MOUSE]
P00375,Dihydrofolate reductase OS=Mus musculus GN=Dhfr PE=1 SV=3 - [DYR_MOUSE]
Q9EQF5,Dihydropyrimidinase OS=Mus musculus GN=Dpys PE=1 SV=2 - [DPYS_MOUSE]
P97501,Dimethylaniline monooxygenase [N-oxide-forming] 3 OS=Mus musculus GN=Fmo3 PE=1 SV=1 - [FMO3_MOUSE]
E9PWX1,Dipeptidyl aminopeptidase-like protein 6 OS=Mus musculus GN=Dpp6 PE=4 SV=1 - [E9PWX1_MOUSE]
Q80YA7,Dipeptidyl peptidase 8 OS=Mus musculus GN=Dpp8 PE=2 SV=1 - [DPP8_MOUSE]
P0C027,Diphosphoinositol polyphosphate phosphohydrolase 3-alpha OS=Mus musculus GN=Nudt10 PE=1 SV=1 - [NUD10_MOUSE]
Q8CI75,DIS3-like exonuclease 2 OS=Mus musculus GN=Dis3l2 PE=1 SV=1 - [DI3L2_MOUSE]
Q9R1V4,Disintegrin and metalloproteinase domain-containing protein 11 OS=Mus musculus GN=Adam11 PE=1 SV=2 - [ADA11_MOUSE]
P70175,Disks large homolog 3 OS=Mus musculus GN=Dlg3 PE=1 SV=1 - [DLG3_MOUSE]
Q52KF7,Disks large homolog 3 OS=Mus musculus GN=Dlg3 PE=2 SV=1 - [Q52KF7_MOUSE]
B1AZP2,Disks large-associated protein 4 OS=Mus musculus GN=Dlgap4 PE=1 SV=1 - [DLGP4_MOUSE]
B0V2P5,DmX-like protein 2 OS=Mus musculus GN=Dmxl2 PE=1 SV=1 - [B0V2P5_MOUSE]
B1AT03,DNA ligase OS=Mus musculus GN=Lig3 PE=3 SV=1 - [B1AT03_MOUSE]
Q61493,DNA polymerase zeta catalytic subunit OS=Mus musculus GN=Rev3l PE=1 SV=3 - [DPOLZ_MOUSE]
Q9QZD4,DNA repair endonuclease XPF OS=Mus musculus GN=Ercc4 PE=2 SV=3 - [XPF_MOUSE]
E9QAG0,DNA repair protein RAD51 homolog 4 OS=Mus musculus GN=Rad51d PE=4 SV=1 - [E9QAG0_MOUSE]
Q9CZ15,DNA replication complex GINS protein PSF1 OS=Mus musculus GN=Gins1 PE=2 SV=1 - [PSF1_MOUSE]
Q8R4U6,"DNA topoisomerase I, mitochondrial OS=Mus musculus GN=Top1mt PE=2 SV=1 - [TOP1M_MOUSE]"
P41136,DNA-binding protein inhibitor ID-2 OS=Mus musculus GN=Id2 PE=1 SV=3 - [ID2_MOUSE]
O35134,DNA-directed RNA polymerase I subunit RPA1 OS=Mus musculus GN=Polr1a PE=1 SV=2 - [RPA1_MOUSE]
P60898,DNA-directed RNA polymerase II subunit RPB9 OS=Mus musculus GN=Polr2i PE=2 SV=1 - [RPB9_MOUSE]
Q8R0C0,DNA-directed RNA polymerase III subunit RPC7-like OS=Mus musculus GN=Polr3gl PE=2 SV=2 - [RPC7L_MOUSE]
B2RXC6,DNA-directed RNA polymerase OS=Mus musculus GN=Polr3a PE=2 SV=1 - [B2RXC6_MOUSE]
Q9D1M1,DNA-directed RNA polymerases I and III subunit RPAC2 OS=Mus musculus GN=Polr1d PE=2 SV=1 - [Q9D1M1_MOUSE]
Q8BFX0,"DNA-directed RNA polymerases I, II, and III subunit RPABC4 OS=Mus musculus GN=Polr2k PE=2 SV=1 - [Q8BFX0_MOUSE]"
P63037,DnaJ homolog subfamily A member 1 OS=Mus musculus GN=Dnaja1 PE=1 SV=1 - [DNJA1_MOUSE]
Q9QYJ0,DnaJ homolog subfamily A member 2 OS=Mus musculus GN=Dnaja2 PE=1 SV=1 - [DNJA2_MOUSE]
Q99M87,"DnaJ homolog subfamily A member 3, mitochondrial OS=Mus musculus GN=Dnaja3 PE=1 SV=1 - [DNJA3_MOUSE]"
Q921R4,DnaJ homolog subfamily C member 14 OS=Mus musculus GN=Dnajc14 PE=2 SV=2 - [DJC14_MOUSE]
Q91ZF0,DnaJ homolog subfamily C member 24 OS=Mus musculus GN=Dnajc24 PE=1 SV=3 - [DJC24_MOUSE]
Q91YW3,DnaJ homolog subfamily C member 3 OS=Mus musculus GN=Dnajc3 PE=1 SV=1 - [DNJC3_MOUSE]
Q9QZK7,Docking protein 3 OS=Mus musculus GN=Dok3 PE=1 SV=1 - [DOK3_MOUSE]
A2AU37,Double-strand-break repair protein rad21-like protein 1 OS=Mus musculus GN=Rad21l1 PE=1 SV=2 - [RD21L_MOUSE]
Q9ERC8,Down syndrome cell adhesion molecule homolog OS=Mus musculus GN=Dscam PE=1 SV=1 - [DSCAM_MOUSE]
Q9D311,Dual oxidase maturation factor 2 OS=Mus musculus GN=Duoxa2 PE=2 SV=1 - [DOXA2_MOUSE]
P31938,Dual specificity mitogen-activated protein kinase kinase 1 OS=Mus musculus GN=Map2k1 PE=1 SV=2 - [MP2K1_MOUSE]
O08788,Dynactin subunit 1 OS=Mus musculus GN=Dctn1 PE=1 SV=3 - [DCTN1_MOUSE]
E9Q919,Dynactin subunit 3 OS=Mus musculus GN=Dctn3 PE=4 SV=1 - [E9Q919_MOUSE]
Q9QZB9,Dynactin subunit 5 OS=Mus musculus GN=Dctn5 PE=1 SV=1 - [DCTN5_MOUSE]
Q9WUB4,Dynactin subunit 6 OS=Mus musculus GN=Dctn6 PE=1 SV=1 - [DCTN6_MOUSE]
G3X9G4,Dynamin-2 OS=Mus musculus GN=Dnm2 PE=1 SV=1 - [G3X9G4_MOUSE]
Q8BZ98,Dynamin-3 OS=Mus musculus GN=Dnm3 PE=1 SV=1 - [DYN3_MOUSE]
H7BX01,"Dynamin-like 120 kDa protein, mitochondrial OS=Mus musculus GN=Opa1 PE=4 SV=1 - [H7BX01_MOUSE]"
Q3V0Q1,"Dynein heavy chain 12, axonemal OS=Mus musculus GN=Dnah12 PE=1 SV=2 - [DYH12_MOUSE]"
K3W4R0,"Dynein heavy chain 17, axonemal OS=Mus musculus GN=Dnah17 PE=4 SV=1 - [K3W4R0_MOUSE]"
