"","HGNC.symbol","MGI.symbol","type"
"1938","ITGA8","Itga8","cell adhesion"
"1939","ITGA9","Itga9","cell adhesion"
"1940","ITGAD","Itgad","cell adhesion"
"1941","ITGAE","Itgae","cell adhesion"
"1942","ITGAL","Itgal","cell adhesion"
"1943","ITGAM","Gm49368","cell adhesion"
"1944","ITGAM","Itgam","cell adhesion"
"1945","ITGAV","Itgav","cell adhesion"
"1946","ITGAX","Itgax","cell adhesion"
"1947","ITGB1","Itgb1","cell adhesion"
"1948","ITGB2","Itgb2l","cell adhesion"
"1949","ITGB2","Itgb2","cell adhesion"
"1950","ITGB3","Itgb3","cell adhesion"
"1951","ITGB3BP","Itgb3bp","unclassified"
"1952","ITGB4","Itgb4","cell adhesion"
"1953","ITGB5","Itgb5","cell adhesion"
"1954","ITGB6","Itgb6","cell adhesion"
"1955","ITGB7","Itgb7","cell adhesion"
"1956","ITGB8","Itgb8","cell adhesion"
"1957","ITGBL1","Itgbl1","cell adhesion"
"1958","ITIH2","Itih2","protein-binding activity modulator"
"1959","ITLN1","Itln1","unclassified"
"1960","ITM2B","Itm2b","unclassified"
"1961","ITPR1","Itpr1","ion channel"
"1962","ITPR2","Itpr2","ion channel"
"1963","ITPR3","Itpr3","ion channel"
"1964","IYD","Iyd","metabolite interconversion enzyme"
"1965","IZUMO1","Izumo1","other intercellular signal"
"1966","IZUMO1R","Izumo1r","membrane traffic"
"1967","JAG1","Jag1","other intercellular signal"
"1968","JAG2","Jag2","other intercellular signal"
"1969","JAGN1","Jagn1","unclassified"
"1970","JAK1","Jak1","protein modifying enzyme"
"1971","JAK2","Jak2","protein modifying enzyme"
"1972","JAM2","Jam2","cell adhesion"
"1973","JAM3","Jam3","cell adhesion"
"1974","JMJD6","Jmjd6","protein modifying enzyme"
"1975","JPH2","Jph2","unclassified"
"1976","JUN","Jun","gene-specific transcriptional regulator"
"1977","JUP","Jup","gene-specific transcriptional regulator"
"1978","KCNA3","Kcna3","ion channel"
"1979","KCNAB1","Kcnab1","unclassified"
"1980","KCND1","Kcnd1","ion channel"
"1981","KCND2","Kcnd2","ion channel"
"1982","KCNJ10","Kcnj10","ion channel"
"1983","KCNJ14","Kcnj14","ion channel"
"1984","KCNJ15","Kcnj15","ion channel"
"1985","KCNJ4","Kcnj4","ion channel"
"1986","KCNJ5","Kcnj5","ion channel"
"1987","KCNK10","Kcnk10","ion channel"
"1988","KCNK18","Kcnk18","ion channel"
"1989","KCNK2","Kcnk2","ion channel"
"1990","KCNK4","Kcnk4","ion channel"
"1991","KCNQ2","Kcnq2","ion channel"
"1992","KCNQ4","Kcnq4","ion channel"
"1993","KCTD12","Kctd12","scaffold/adaptor"
"1994","KCTD16","Kctd16","scaffold/adaptor"
"1995","KCTD8","Kctd8","scaffold/adaptor"
"1996","KDM2A","Kdm2a","chromatin-associated"
"1997","KDM2B","Kdm2b","chromatin-associated"
"1998","KDM8","Kdm8","protein modifying enzyme"
"1999","KDR","Kdr","tyrosine protein kinase receptor"
"2000","KEL","Kel","protein modifying enzyme"
"2001","KERA","Kera","unclassified"
"2002","KIAA0319L","AU040320","unclassified"
"2003","KIDINS220","Kidins220","unclassified"
"2004","KIR2DL1","Kir3dl1","defense/immunity"
"2005","KIR2DL1","Kir3dl2","defense/immunity"
"2006","KIR2DL3","Kir3dl2","defense/immunity"
"2007","KIR2DL3","Kir3dl1","defense/immunity"
"2008","KIR2DL4","Kir3dl1","defense/immunity"
"2009","KIR2DL4","Kir3dl2","defense/immunity"
"2010","KIR2DS4","Kir3dl2","defense/immunity"
"2011","KIR2DS4","Kir3dl1","defense/immunity"
"2012","KIR3DL1","Kir3dl1","defense/immunity"
"2013","KIR3DL1","Kir3dl2","defense/immunity"
"2014","KIR3DL2","Kir3dl2","defense/immunity"
"2015","KIR3DL2","Kir3dl1","defense/immunity"
"2016","KIR3DL3","Kir3dl1","defense/immunity"
"2017","KIR3DL3","Kir3dl2","defense/immunity"
"2018","KIRREL1","Kirrel","cell adhesion"
"2019","KIRREL3","Kirrel3","cell adhesion"
"2020","KISS1","Kiss1","other intercellular signal"
"2021","KISS1","Gm28040","other intercellular signal"
"2022","KISS1R","Kiss1r","G-protein coupled receptor"
"2023","KIT","Kit","tyrosine protein kinase receptor"
"2024","KITLG","Kitl","other intercellular signal"
"2025","KL","Kl","metabolite interconversion enzyme"
"2026","KLB","Klb","metabolite interconversion enzyme"
"2027","KLC1","Klc1","cytoskeletal"
"2028","KLC2","Klc2","cytoskeletal"
"2029","KLK13","Klk13","protein modifying enzyme"
"2030","KLK14","Klk14","protein modifying enzyme"
"2031","KLK3","Klk1b21","protein modifying enzyme"
"2032","KLK3","Klk1b22","protein modifying enzyme"
"2033","KLK3","Klk1b5","protein modifying enzyme"
"2034","KLK3","Klk1","protein modifying enzyme"
"2035","KLK3","Klk1b24","protein modifying enzyme"
"2036","KLK3","Klk1b8","protein modifying enzyme"
"2037","KLK3","Klk1b27","protein modifying enzyme"
"2038","KLK3","Klk1b4","protein modifying enzyme"
"2039","KLK3","Klk1b1","protein modifying enzyme"
"2040","KLK3","Klk1b9","protein modifying enzyme"
"2041","KLK3","Klk1b3","protein modifying enzyme"
"2042","KLK3","Klk1b26","protein modifying enzyme"
"2043","KLK3","Klk1b16","protein modifying enzyme"
"2044","KLK3","Klk1b11","protein modifying enzyme"
"2045","KLRB1","Klrb1b","other transmembrane signal receptor"
"2046","KLRB1","Klrb1a","other transmembrane signal receptor"
"2047","KLRB1","Gm44511","other transmembrane signal receptor"
"2048","KLRB1","Klrb1c","other transmembrane signal receptor"
"2049","KLRB1","Klrb1","other transmembrane signal receptor"
"2050","KLRB1","Klrb1f","other transmembrane signal receptor"
"2051","KLRC1","Klri2","defense/immunity"
"2052","KLRC1","Klrh1","defense/immunity"
"2053","KLRC1","Klrc2","defense/immunity"
"2054","KLRC1","Klrc3","defense/immunity"
"2055","KLRC1","Klrc1","defense/immunity"
"2056","KLRC1","Clec2m","defense/immunity"
"2057","KLRC1","Klri1","defense/immunity"
"2058","KLRC1","Klre1","defense/immunity"
"2059","KLRC2","Klrh1","defense/immunity"
"2060","KLRC2","Klri1","defense/immunity"
"2061","KLRC2","Clec2m","defense/immunity"
"2062","KLRC2","Klre1","defense/immunity"
"2063","KLRC2","Klri2","defense/immunity"
"2064","KLRC3","Klrh1","defense/immunity"
"2065","KLRC3","Klri2","defense/immunity"
"2066","KLRC3","Klri1","defense/immunity"
"2067","KLRC3","Klre1","defense/immunity"
"2068","KLRC3","Clec2m","defense/immunity"
"2069","KLRD1","Klrd1","defense/immunity"
"2070","KLRG1","Klrg1","other transmembrane signal receptor"
"2071","KLRG2","Klrg2","other transmembrane signal receptor"
"2072","KLRK1","Klrk1","other intercellular signal"
"2073","KMT2E","Kmt2e","unclassified"
"2074","KNG1","Kng1","protein-binding activity modulator"
"2075","KNG1","Kng2","protein-binding activity modulator"
"2076","KREMEN1","Kremen1","other transmembrane signal receptor"
"2077","KREMEN2","Kremen2","other transmembrane signal receptor"
"2078","KRTAP4-12","Gm11555","structural"
"2079","KRTAP4-12","Krtap4-7","structural"
"2080","KYAT1","Kyat1","metabolite interconversion enzyme"
"2081","KYAT3","Kyat3","metabolite interconversion enzyme"
"2082","KYNU","Kynu","metabolite interconversion enzyme"
"2083","L1CAM","L1cam","other transmembrane signal receptor"
"2084","L2HGDH","L2hgdh","metabolite interconversion enzyme"
"2085","LAG3","Lag3","other transmembrane signal receptor"
"2086","LAIR1","Lair1","defense/immunity"
"2087","LAIR2","Lilrb4a","defense/immunity"
"2088","LAIR2","Gm49339","defense/immunity"
"2089","LAIR2","Lilr4b","defense/immunity"
"2090","LALBA","Lalba","metabolite interconversion enzyme"
"2091","LAMA1","Lama1","cell adhesion"
"2092","LAMA2","Lama2","cell adhesion"
"2093","LAMA3","Lama3","cell adhesion"
"2094","LAMA4","Lama4","cell adhesion"
"2095","LAMA5","Lama5","extracellular matrix"
"2096","LAMB1","Lamb1","extracellular matrix"
"2097","LAMB2","Lamb2","extracellular matrix"
"2098","LAMB3","Lamb3","extracellular matrix"
"2099","LAMC1","Lamc1","extracellular matrix"
"2100","LAMC2","Lamc2","unclassified"
"2101","LAMC3","Lamc3","extracellular matrix"
"2102","LAMP1","Lamp1","membrane traffic"
"2103","LAMP2","Lamp2","membrane traffic"
"2104","LAP3","Lap3","protein modifying enzyme"
"2105","LAT","Lat","unclassified"
"2106","LAYN","Layn","unclassified"
"2107","LCK","Lck","protein modifying enzyme"
"2108","LCLAT1","Lclat1","metabolite interconversion enzyme"
"2109","LCN2","Lcn2","transfer/carrier"
"2110","LCT","Lct","metabolite interconversion enzyme"
"2111","LCTL","Lctl","metabolite interconversion enzyme"
"2112","LDHAL6B","Ldhal6b","metabolite interconversion enzyme"
"2113","LDHB","Ldhb","metabolite interconversion enzyme"
"2114","LDHC","Ldhc","metabolite interconversion enzyme"
"2115","LDHD","Ldhd","metabolite interconversion enzyme"
"2116","LDLR","Ldlr","transfer/carrier"
"2117","LEAP2","Leap2","unclassified"
"2118","LEFTY1","Lefty1","growth factor"
"2119","LEFTY1","Lefty2","growth factor"
"2120","LEFTY2","Lefty1","growth factor"
"2121","LEFTY2","Lefty2","growth factor"
"2122","LEP","Lep","peptide hormone"
"2123","LEPR","Lepr","other transmembrane signal receptor"
"2124","LFNG","Lfng","metabolite interconversion enzyme"
"2125","LGALS1","Lgals1","extracellular matrix"
"2126","LGALS3","Lgals3","extracellular matrix"
"2127","LGALS3BP","Lgals3bp","defense/immunity"
"2128","LGALS8","Lgals8","extracellular matrix"
"2129","LGI1","Lgi1","other intercellular signal"
"2130","LGI2","Lgi2","unclassified"
"2131","LGI3","Lgi3","unclassified"
"2132","LGI4","Lgi4","unclassified"
"2133","LGR4","Lgr4","G-protein coupled receptor"
"2134","LGR5","Lgr5","G-protein coupled receptor"
"2135","LGR6","Lgr6","other intercellular signal"
"2136","LHCGR","Lhcgr","G-protein coupled receptor"
"2137","LHFPL5","Lhfpl5","scaffold/adaptor"
"2138","LIAS","Lias","unclassified"
"2139","LIF","Lif","cytokine"
"2140","LIFR","Lifr","other transmembrane signal receptor"
"2141","LILRA4","Pira1","defense/immunity"
"2142","LILRA4","Pirb","defense/immunity"
"2143","LILRA4","Lilra5","defense/immunity"
"2144","LILRA4","Pira2","defense/immunity"
"2145","LILRA4","Lilra6","defense/immunity"
"2146","LILRA4","Pira13","defense/immunity"
"2147","LILRA4","Pira12","defense/immunity"
"2148","LILRA5","Pira13","defense/immunity"
"2149","LILRA5","Pira1","defense/immunity"
"2150","LILRA5","Pira2","defense/immunity"
"2151","LILRA5","Pira12","defense/immunity"
"2152","LILRA5","Lilra6","defense/immunity"
"2153","LILRA5","Lilra5","defense/immunity"
"2154","LILRA5","Pirb","defense/immunity"
"2155","LILRA6","Pirb","defense/immunity"
"2156","LILRA6","Lilra5","defense/immunity"
"2157","LILRA6","Pira2","defense/immunity"
"2158","LILRA6","Lilra6","defense/immunity"
"2159","LILRA6","Pira12","defense/immunity"
"2160","LILRA6","Pira13","defense/immunity"
"2161","LILRA6","Pira1","defense/immunity"
"2162","LILRB3","Pirb","defense/immunity"
"2163","LILRB3","Pira12","defense/immunity"
"2164","LILRB3","Pira2","defense/immunity"
"2165","LILRB3","Pira13","defense/immunity"
"2166","LILRB3","Pira1","defense/immunity"
"2167","LILRB3","Lilra6","defense/immunity"
"2168","LILRB3","Lilra5","defense/immunity"
"2169","LILRB4","Lilra6","defense/immunity"
"2170","LILRB4","Pira13","defense/immunity"
"2171","LILRB4","Pira1","defense/immunity"
"2172","LILRB4","Lilra5","defense/immunity"
"2173","LILRB4","Pira12","defense/immunity"
"2174","LILRB4","Pirb","defense/immunity"
"2175","LILRB4","Pira2","defense/immunity"
"2176","LILRB5","Pira1","defense/immunity"
"2177","LILRB5","Lilra5","defense/immunity"
"2178","LILRB5","Pira13","defense/immunity"
"2179","LILRB5","Pira12","defense/immunity"
"2180","LILRB5","Lilra6","defense/immunity"
"2181","LILRB5","Pirb","defense/immunity"
"2182","LILRB5","Pira2","defense/immunity"
"2183","LIN7B","Lin7b","cell junction"
"2184","LIN7C","Lin7c","cell junction"
"2185","LINGO1","Lingo1","other transmembrane signal receptor"
"2186","LINGO4","Lingo4","other transmembrane signal receptor"
"2187","LIPA","Lipa","metabolite interconversion enzyme"
"2188","LIPC","Lipc","metabolite interconversion enzyme"
"2189","LIPE","Lipe","metabolite interconversion enzyme"
"2190","LIPH","Liph","metabolite interconversion enzyme"
"2191","LMAN1","Lman1","membrane traffic"
"2192","LMBR1L","Lmbr1l","other transmembrane signal receptor"
"2193","LNX1","Lnx1","scaffold/adaptor"
"2194","LOX","Lox","metabolite interconversion enzyme"
"2195","LOXL2","Loxl2","metabolite interconversion enzyme"
"2196","LPAR1","Lpar1","G-protein coupled receptor"
"2197","LPAR2","Lpar2","G-protein coupled receptor"
"2198","LPAR3","Lpar3","G-protein coupled receptor"
"2199","LPAR4","Lpar4","G-protein coupled receptor"
"2200","LPAR5","Lpar5","G-protein coupled receptor"
"2201","LPAR6","Lpar6","G-protein coupled receptor"
"2202","LPL","Lpl","metabolite interconversion enzyme"
"2203","LPP","Lpp","protein-binding activity modulator"
"2204","LRFN1","Lrfn1","cell adhesion"
"2205","LRFN2","Lrfn2","cell adhesion"
"2206","LRFN3","Lrfn3","cell adhesion"
"2207","LRFN4","Lrfn4","cell adhesion"
"2208","LRFN5","Lrfn5","cell adhesion"
"2209","LRIG1","Lrig1","other transmembrane signal receptor"
"2210","LRIG2","Lrig2","other transmembrane signal receptor"
"2211","LRIT1","Lrit1","cell adhesion"
"2212","LRIT2","Lrit2","cell adhesion"
"2213","LRP1","Lrp1","transfer/carrier"
"2214","LRP10","Lrp10","transfer/carrier"
"2215","LRP11","Lrp11","unclassified"
"2216","LRP12","Lrp12","transfer/carrier"
"2217","LRP1B","Lrp1b","unclassified"
"2218","LRP2","Lrp2","unclassified"
"2219","LRP3","Lrp3","transfer/carrier"
"2220","LRP4","Lrp4","transfer/carrier"
"2221","LRP5","Lrp5","other transmembrane signal receptor"
"2222","LRP6","Lrp6","other transmembrane signal receptor"
"2223","LRP8","Lrp8","transfer/carrier"
"2224","LRPAP1","Lrpap1","chaperone"
"2225","LRRC4","Lrrc4","cell adhesion"
"2226","LRRC4B","Lrrc4b","cell adhesion"
"2227","LRRC4C","Lrrc4c","cell adhesion"
"2228","LRRC52","Lrrc52","unclassified"
"2229","LRRC8A","Gm28035","scaffold/adaptor"
"2230","LRRC8A","Lrrc8a","scaffold/adaptor"
"2231","LRRC8B","Lrrc8b","scaffold/adaptor"
"2232","LRRC8C","Lrrc8c","scaffold/adaptor"
"2233","LRRC8D","Lrrc8d","scaffold/adaptor"
"2234","LRRC8E","Lrrc8e","scaffold/adaptor"
"2235","LRRN1","Lrrn1","other transmembrane signal receptor"
"2236","LRRN2","Lrrn2","other transmembrane signal receptor"
"2237","LRRN3","Lrrn3","other transmembrane signal receptor"
"2238","LRRTM1","Lrrtm1","other transmembrane signal receptor"
"2239","LRRTM2","Lrrtm2","other intercellular signal"
"2240","LRRTM3","Lrrtm3","other transmembrane signal receptor"
"2241","LRRTM4","Lrrtm4","other transmembrane signal receptor"
"2242","LRTM2","Lrtm2","other intercellular signal"
"2243","LSAMP","Lsamp","defense/immunity"
"2244","LSR","Lsr","defense/immunity"
"2245","LSS","Lss","metabolite interconversion enzyme"
"2246","LTA","Lta","other intercellular signal"
"2247","LTA4H","Lta4h","unclassified"
"2248","LTB","Ltb","other intercellular signal"
"2249","LTB4R2","Ltb4r2","G-protein coupled receptor"
"2250","LTBP1","Ltbp1","extracellular matrix"
"2251","LTBP3","Ltbp3","extracellular matrix"
"2252","LTBR","Ltbr","other transmembrane signal receptor"
"2253","LTF","Ltf","transfer/carrier"
"2254","LTK","Ltk","tyrosine protein kinase receptor"
"2255","LUM","Lum","unclassified"
"2256","LVRN","Lvrn","protein modifying enzyme"
"2257","LY6G5C","Ly6g5c","unclassified"
"2258","LY6G6C","Ly6g6c","unclassified"
"2259","LY6G6F","Ly6g6f","unclassified"
"2260","LY6H","Ly6h","other intercellular signal"
"2261","LY86","Ly86","unclassified"
"2262","LY9","Ly9","defense/immunity"
"2263","LY96","Ly96","scaffold/adaptor"
"2264","LYN","Lyn","protein modifying enzyme"
"2265","LYPD1","Lypd1","other intercellular signal"
"2266","LYPD3","Lypd3","other transmembrane signal receptor"
"2267","LYPD6","Lypd6","unclassified"
"2268","LYPLA1","Lypla1","metabolite interconversion enzyme"
"2269","LYPLA2","Lypla2","metabolite interconversion enzyme"
"2270","LYVE1","Lyve1","other transmembrane signal receptor"
"2271","LYZ","9530003J23Rik","metabolite interconversion enzyme"
"2272","MADCAM1","Madcam1","cell adhesion"
"2273","MAG","Mag","cell adhesion"
"2274","MAGED1","Maged1","scaffold/adaptor"
"2275","MAGI1","Magi1","unclassified"
"2276","MAML2","Maml2","gene-specific transcriptional regulator"
"2277","MANSC1","Mansc1","unclassified"
"2278","MAOA","Maoa","metabolite interconversion enzyme"
"2279","MAOB","Maob","metabolite interconversion enzyme"
"2280","MAP7","Map7","other intercellular signal"
"2281","MAPK1","Mapk1","protein modifying enzyme"
"2282","MARCO","Marco","extracellular matrix"
"2283","MAS1","Mas1","G-protein coupled receptor"
"2284","MAT1A","Mat1a","metabolite interconversion enzyme"
"2285","MAT2A","Mat2a","metabolite interconversion enzyme"
"2286","MAT2B","Mat2b","metabolite interconversion enzyme"
"2287","MATN1","Matn1","extracellular matrix"
"2288","MBL2","Mbl2","structural"
"2289","MBOAT7","Mboat7","metabolite interconversion enzyme"
"2290","MBP","Mbp","structural"
"2291","MC1R","Mc1r","G-protein coupled receptor"
"2292","MC2R","Mc2r","G-protein coupled receptor"
"2293","MC3R","Mc3r","G-protein coupled receptor"
"2294","MC4R","Mc4r","G-protein coupled receptor"
"2295","MC5R","Mc5r","G-protein coupled receptor"
"2296","MCAM","Mcam","cell adhesion"
"2297","MCCC1","Mccc1","metabolite interconversion enzyme"
"2298","MCCC2","Mccc2","metabolite interconversion enzyme"
"2299","MCFD2","Mcfd2","membrane traffic"
"2300","MCHR1","Mchr1","G-protein coupled receptor"
"2301","MDGA1","Mdga1","unclassified"
"2302","MDH1","Mdh1","metabolite interconversion enzyme"
"2303","MDK","Mdk","growth factor"
"2304","ME1","Me1","metabolite interconversion enzyme"
"2305","ME2","Me2","metabolite interconversion enzyme"
"2306","ME3","Me3","metabolite interconversion enzyme"
"2307","MED1","Med1","RNA metabolism"
"2308","MEGF10","Megf10","extracellular matrix"
"2309","MELTF","Meltf","transfer/carrier"
"2310","MEPE","Mepe","unclassified"
"2311","MERTK","Mertk","tyrosine protein kinase receptor"
"2312","MET","Met","tyrosine protein kinase receptor"
"2313","MFAP2","Mfap2","unclassified"
"2314","MFAP3L","Mfap3l","cell adhesion"
"2315","MFAP5","Mfap5","unclassified"
"2316","MFGE8","Mfge8","metabolite interconversion enzyme"
"2317","MFNG","Mfng","metabolite interconversion enzyme"
"2318","MFRP","Mfrp","protein modifying enzyme"
"2319","MGAM","Mgam","metabolite interconversion enzyme"
"2320","MGLL","Mgll","metabolite interconversion enzyme"
"2321","MGRN1","Mgrn1","protein modifying enzyme"
"2322","MIA","Mia","other intercellular signal"
"2323","MIA","Gm21983","other intercellular signal"
"2324","MICA","Mill1","defense/immunity"
"2325","MICA","Mill2","defense/immunity"
"2326","MICB","Mill2","defense/immunity"
"2327","MICB","Mill1","defense/immunity"
"2328","MIF","Mif","metabolite interconversion enzyme"
"2329","MILR1","Milr1","defense/immunity"
"2330","MINPP1","Minpp1","metabolite interconversion enzyme"
"2331","MKS1","Mks1","structural"
"2332","MLYCD","Mlycd","unclassified"
"2333","MMP1","Mmp1a","protein modifying enzyme"
"2334","MMP1","Mmp1b","protein modifying enzyme"
"2335","MMP12","Mmp12","protein modifying enzyme"
"2336","MMP13","Mmp13","protein modifying enzyme"
"2337","MMP14","Mmp14","protein modifying enzyme"
"2338","MMP15","Mmp15","protein modifying enzyme"
"2339","MMP16","Mmp16","protein modifying enzyme"
"2340","MMP2","Mmp2","protein modifying enzyme"
"2341","MMP24","Mmp24","protein modifying enzyme"
"2342","MMP7","Mmp7","protein modifying enzyme"
"2343","MMP9","Mmp9","protein modifying enzyme"
"2344","MMRN2","Mmrn2","scaffold/adaptor"
"2345","MOCOS","Mocos","unclassified"
"2346","MOG","Mog","defense/immunity"
"2347","MPDZ","Mpdz","scaffold/adaptor"
"2348","MPIG6B","Mpig6b","other transmembrane signal receptor"
"2349","MPL","Mpl","other transmembrane signal receptor"
"2350","MPP3","Mpp3","scaffold/adaptor"
"2351","MPZ","Mpz","structural"
"2352","MPZL1","Mpzl1","structural"
"2353","MPZL2","Mpzl2","structural"
"2354","MPZL3","Mpzl3","structural"
"2355","MRAP","Mrap","other intercellular signal"
"2356","MRC1","Mrc1","membrane traffic"
"2357","MRC2","Mrc2","membrane traffic"
"2358","MRGPRD","Mrgprd","G-protein coupled receptor"
"2359","MRGPRX1","Mrgpra6","G-protein coupled receptor"
"2360","MRGPRX1","Mrgpra9","G-protein coupled receptor"
"2361","MRGPRX1","Mrgpra1","G-protein coupled receptor"
"2362","MRGPRX1","Mrgpra2a","G-protein coupled receptor"
"2363","MRGPRX1","Mrgpra2b","G-protein coupled receptor"
"2364","MRGPRX1","Mrgpra3","G-protein coupled receptor"
"2365","MRGPRX1","Mrgpra4","G-protein coupled receptor"
"2366","MRGPRX1","Mrgprx1","G-protein coupled receptor"
"2367","MRGPRX1","Mrgprb5","G-protein coupled receptor"
"2368","MRGPRX1","Mrgprb4","G-protein coupled receptor"
"2369","MRGPRX1","Mrgprb8","G-protein coupled receptor"
"2370","MRGPRX1","Mrgprb1","G-protein coupled receptor"
"2371","MRGPRX1","Mrgprx2","G-protein coupled receptor"
"2372","MRGPRX1","Mrgprb2","G-protein coupled receptor"
"2373","MRGPRX1","Mrgprb3","G-protein coupled receptor"
"2374","MRGPRX2","Mrgpra2a","G-protein coupled receptor"
"2375","MRGPRX2","Mrgpra6","G-protein coupled receptor"
"2376","MRGPRX2","Mrgpra9","G-protein coupled receptor"
"2377","MRGPRX2","Mrgprb1","G-protein coupled receptor"
"2378","MRGPRX2","Mrgpra2b","G-protein coupled receptor"
"2379","MRGPRX2","Mrgprb2","G-protein coupled receptor"
"2380","MRGPRX2","Mrgpra1","G-protein coupled receptor"
"2381","MRGPRX2","Mrgprb8","G-protein coupled receptor"
"2382","MRGPRX2","Mrgprx1","G-protein coupled receptor"
"2383","MRGPRX2","Mrgprb5","G-protein coupled receptor"
"2384","MRGPRX2","Mrgprb3","G-protein coupled receptor"
"2385","MRGPRX2","Mrgprx2","G-protein coupled receptor"
"2386","MRGPRX2","Mrgprb4","G-protein coupled receptor"
"2387","MRGPRX2","Mrgpra3","G-protein coupled receptor"
"2388","MRGPRX2","Mrgpra4","G-protein coupled receptor"
"2389","MRGPRX4","Mrgpra9","G-protein coupled receptor"
"2390","MRGPRX4","Mrgpra6","G-protein coupled receptor"
"2391","MRGPRX4","Mrgpra3","G-protein coupled receptor"
"2392","MRGPRX4","Mrgpra1","G-protein coupled receptor"
"2393","MRGPRX4","Mrgprb5","G-protein coupled receptor"
"2394","MRGPRX4","Mrgprb4","G-protein coupled receptor"
"2395","MRGPRX4","Mrgprb8","G-protein coupled receptor"
"2396","MRGPRX4","Mrgprb1","G-protein coupled receptor"
"2397","MRGPRX4","Mrgprx2","G-protein coupled receptor"
"2398","MRGPRX4","Mrgprb2","G-protein coupled receptor"
"2399","MRGPRX4","Mrgprb3","G-protein coupled receptor"
"2400","MRGPRX4","Mrgpra2a","G-protein coupled receptor"
"2401","MRGPRX4","Mrgprx1","G-protein coupled receptor"
"2402","MRGPRX4","Mrgpra4","G-protein coupled receptor"
"2403","MRGPRX4","Mrgpra2b","G-protein coupled receptor"
"2404","MS4A1","Ms4a1","transporter"
"2405","MS4A4A","Ms4a4c","transporter"
"2406","MS4A4A","Ms4a4d","transporter"
"2407","MS4A4A","Ms4a4a","transporter"
"2408","MS4A4A","Ms4a4b","transporter"
"2409","MSMB","Msmb","other intercellular signal"
"2410","MSMP","Msmp","other intercellular signal"
"2411","MSN","Msn","cytoskeletal"
"2412","MST1","Mst1","protein modifying enzyme"
"2413","MST1R","Mst1r","tyrosine protein kinase receptor"
"2414","MSTN","Mstn","growth factor"
"2415","MT-CO2","mt-Co2","metabolite interconversion enzyme"
"2416","MT-CO3","mt-Co3","metabolite interconversion enzyme"
"2417","MT-ND1","mt-Nd1","metabolite interconversion enzyme"
"2418","MT-ND2","mt-Nd2","metabolite interconversion enzyme"
"2419","MT-ND4","mt-Nd4","metabolite interconversion enzyme"
"2420","MT-ND4L","mt-Nd4l","metabolite interconversion enzyme"
"2421","MT-ND5","mt-Nd5","metabolite interconversion enzyme"
"2422","MTAP","Mtap","metabolite interconversion enzyme"
"2423","MTHFR","Mthfr","metabolite interconversion enzyme"
"2424","MTMR1","Mtmr1","metabolite interconversion enzyme"
"2425","MTMR2","Mtmr2","metabolite interconversion enzyme"
"2426","MTMR4","Mtmr4","metabolite interconversion enzyme"
"2427","MTMR6","Mtmr6","metabolite interconversion enzyme"
"2428","MTMR7","Mtmr7","metabolite interconversion enzyme"
"2429","MTNR1A","Mtnr1a","G-protein coupled receptor"
"2430","MTNR1B","Mtnr1b","G-protein coupled receptor"
"2431","MTR","Mtr","unclassified"
"2432","MTTP","Mttp","transporter"
"2433","MUC1","Muc1","cell adhesion"
"2434","MUC15","Muc15","unclassified"
"2435","MUC20","Muc20","unclassified"
"2436","MUC5AC","Muc5ac","extracellular matrix"
"2437","MUC6","Muc6","extracellular matrix"
"2438","MUSK","Musk","tyrosine protein kinase receptor"
"2439","MVD","Mvd","metabolite interconversion enzyme"
"2440","MVK","Mvk","metabolite interconversion enzyme"
"2441","MX1","Mx1","membrane traffic"
"2442","MX1","Mx2","membrane traffic"
"2443","MXRA8","Mxra8","unclassified"
"2444","MYC","Myc","gene-specific transcriptional regulator"
"2445","MYL9","Myl9","cytoskeletal"
"2446","MYO16","Myo16","unclassified"
"2447","MYO1D","Myo1d","cytoskeletal"
"2448","MYO5C","Myo5c","cytoskeletal"
"2449","MYO7A","Myo7a","cytoskeletal"
"2450","MYO7B","Myo7b","cytoskeletal"
"2451","MYOC","Myoc","structural"
"2452","NAALAD2","Naalad2","protein modifying enzyme"
"2453","NAALADL1","Naaladl1","protein modifying enzyme"
"2454","NAMPT","Nampt","metabolite interconversion enzyme"
"2455","NAPEPLD","Napepld","metabolite interconversion enzyme"
"2456","NCAM1","Ncam1","cell adhesion"
"2457","NCAM2","Ncam2","cell adhesion"
"2458","NCAN","Ncan","extracellular matrix"
"2459","NCL","Ncl","RNA metabolism"
"2460","NCOA3","Ncoa3","chromatin-associated"
"2461","NCOA6","Ncoa6","chromatin-associated"
"2462","NCOR1","Ncor1","chromatin-associated"
"2463","NCR1","Ncr1","defense/immunity"
"2464","NCSTN","Ncstn","other intercellular signal"
"2465","NDP","Ndp","other intercellular signal"
"2466","NDUFS1","Ndufs1","metabolite interconversion enzyme"
"2467","NDUFS2","Ndufs2","metabolite interconversion enzyme"
"2468","NDUFS3","Ndufs3","metabolite interconversion enzyme"
"2469","NDUFS7","Ndufs7","metabolite interconversion enzyme"
"2470","NDUFS8","Ndufs8","metabolite interconversion enzyme"
"2471","NDUFV2","Ndufv2","metabolite interconversion enzyme"
"2472","NECTIN1","Nectin1","cell adhesion"
"2473","NECTIN2","Nectin2","other transmembrane signal receptor"
"2474","NECTIN3","Nectin3","cell adhesion"
"2475","NECTIN4","Nectin4","cell adhesion"
"2476","NEGR1","Negr1","defense/immunity"
"2477","NEK4","Nek4","protein modifying enzyme"
